how_old_are_you,industry,job_title,annual_salary,other_monetary_comp,state,city,overall_years_of_professional_experience,years_of_experience_in_field,highest_level_of_education_completed
18-24,Hospitality & Events,Assistant Manager,29000,2000.0,New Hampshire,Lincoln,5-7 years,5-7 years,High School
45-54,Law,Senior Project Manager,114000,1500.0,Pennsylvania,Philadelphia,31 - 40 years,8 - 10 years,College degree
45-54,Law,Partner,96000,0.0,Massachusetts,Boston,21 - 30 years,11 - 20 years,"Professional degree (MD, JD, etc.)"
25-34,Health care,Physician Assistant,88000,,Pennsylvania,Lancaster,1 year or less,1 year or less,Master's degree
25-34,Property or Construction,Purchasing Agent,37440,500.0,Florida,Jacksonville,5-7 years,2 - 4 years,College degree
35-44,Transport or Logistics,Client Relationship Manager,61000,10000.0,Illinois,Chicago,8 - 10 years,2 - 4 years,College degree
55-64,Law,Litigation manager,120000,15000.0,California,Thousand oaks,31 - 40 years,21 - 30 years,College degree
25-34,Computing or Tech,data science,150000,72500.0,California,San Francisco,8 - 10 years,2 - 4 years,Master's degree
35-44,Education (Higher Education),Research Analyst,78000,0.0,Massachusetts,Boston,8 - 10 years,2 - 4 years,PhD
25-34,Computing or Tech,Data Scientist,130000,65000.0,California,San Francisco,2 - 4 years,2 - 4 years,College degree
35-44,Engineering or Manufacturing,Operations Manager,67000,12000.0,Pennsylvania,Allentown,11 - 20 years,5-7 years,College degree
25-34,Art & Design,Graphic Designer,42000,,California,Rancho Cucamonga,5-7 years,5-7 years,College degree
35-44,Computing or Tech,Software Engineer,172500,9000.0,California,Sam Mateo,11 - 20 years,5-7 years,College degree
45-54,Art & Design,creative director,79132,8000.0,Massachusetts,"Springfield, ma",21 - 30 years,21 - 30 years,College degree
25-34,Computing or Tech,Senior Analytics Consultant,82000,5000.0,Massachusetts,Boston,5-7 years,5-7 years,College degree
35-44,Computing or Tech,Web developer,63000,0.0,Indiana,South Bend,11 - 20 years,11 - 20 years,College degree
45-54,Health care,Certified Massage Therapist,160000,,California,Albany,21 - 30 years,11 - 20 years,Some college
35-44,Computing or Tech,Business Analyst,95000,,District of Columbia,Washington,8 - 10 years,2 - 4 years,College degree
35-44,Art & Design,Graphic Designer & Sign Fabrication,37440,0.0,Illinois,River Grove,21 - 30 years,11 - 20 years,Some college
25-34,Social Work,Behavioral Health Supervisor,72000,500.0,Georgia,Atlanta,11 - 20 years,8 - 10 years,Master's degree
25-34,"Accounting, Banking & Finance",Human Resources Manager,86600,2500.0,Missouri,Joplin,11 - 20 years,8 - 10 years,Master's degree
18-24,Education (Higher Education),Grad Student,30000,,Pennsylvania,Pittsburgh,1 year or less,1 year or less,Master's degree
25-34,Publishing,Production Manager,55000,0.0,Colorado,Boulder,5-7 years,5-7 years,College degree
25-34,"Accounting, Banking & Finance","Financial Reporting Accountant, Advanced",71500,1400.0,Kansas,Lenexa,5-7 years,5-7 years,Master's degree
55-64,Computing or Tech,Vice President Engineering,150000,10000.0,Pennsylvania,Pittsburgh,31 - 40 years,31 - 40 years,College degree
25-34,Computing or Tech,Test automation engineer,85000,0.0,Missouri,Kansas city,5-7 years,5-7 years,College degree
25-34,Health care,Physician,300000,,Pennsylvania,Pittsburgh,5-7 years,2 - 4 years,"Professional degree (MD, JD, etc.)"
35-44,Computing or Tech,Director of Presales Engineering,300000,50000.0,California,San Francisco,11 - 20 years,8 - 10 years,PhD
25-34,Property or Construction,Building Code Consultant,80000,3000.0,Illinois,Chicago,5-7 years,5-7 years,Master's degree
18-24,Hospitality & Events,Assistant Manager,34500,5000.0,Pennsylvania,Kittanning,2 - 4 years,2 - 4 years,Some college
25-34,Insurance,Data Analyst III,77000,5000.0,Iowa,Des Moines,5-7 years,2 - 4 years,College degree
18-24,Business or Consulting,Technology consultant,70000,0.0,Georgia,Atlanta,1 year or less,1 year or less,College degree
45-54,Computing or Tech,Chief technology officer,520000,0.0,Massachusetts,Boston,21 - 30 years,21 - 30 years,College degree
45-54,Transport or Logistics,Learning and Development Manager,95000,5000.0,Missouri,Saint Louis,21 - 30 years,8 - 10 years,Master's degree
35-44,Government and Public Administration,Engineer,110824,0.0,Rhode Island,Providence,11 - 20 years,11 - 20 years,College degree
35-44,Health care,Writer,42000,,,,11 - 20 years,8 - 10 years,Master's degree
35-44,"Marketing, Advertising & PR",Digital Marketing Consultant,208000,,Pennsylvania,Philadelphia (but clients everywhere),11 - 20 years,8 - 10 years,College degree
35-44,Health care,RN,67250,0.0,Missouri,Kansas City,8 - 10 years,5-7 years,College degree
55-64,Manufacturing,Payroll Manager,117000,,California,San Diego,21 - 30 years,21 - 30 years,College degree
25-34,Insurance,Data Scientist,130000,8000.0,Wisconsin,Remote,11 - 20 years,2 - 4 years,Master's degree
35-44,Education (Higher Education),Associate Professor,60000,0.0,Illinois,Chicago Suburbs,11 - 20 years,11 - 20 years,PhD
35-44,Government and Public Administration,Utility Director,72000,4000.0,Indiana,Clarksville,11 - 20 years,5-7 years,Master's degree
45-54,Communications,Communications specialist advisor,100000,,Rhode Island,Warwick,31 - 40 years,11 - 20 years,Some college
35-44,Computing or Tech,"Software Engineer, Sr",105000,2000.0,Alabama,Birmingham,11 - 20 years,11 - 20 years,College degree
45-54,Media & Digital,Photographer/graphic designer,52500,0.0,North Carolina,Greenville,21 - 30 years,21 - 30 years,College degree
25-34,Health care,Health Information Management Supervisor,51000,,Minnesota,Minneapolis,8 - 10 years,5-7 years,College degree
35-44,Computing or Tech,Director of Data Science,175000,20000.0,Massachusetts,Lexington,11 - 20 years,8 - 10 years,PhD
35-44,Insurance,Staff underwriter,81000,2000.0,Texas,Houston,11 - 20 years,5-7 years,College degree
35-44,Computing or Tech,Senior Project Manager,95000,5000.0,Texas,Austin,11 - 20 years,5-7 years,Master's degree
25-34,Education (Primary/Secondary),Language Teacher,40000,0.0,Texas,Houston,5-7 years,5-7 years,College degree
25-34,Health care,Clinical Research Assistant,43000,1000.0,Colorado,Aurora,5-7 years,2 - 4 years,College degree
25-34,Computing or Tech,Quality Manager,83000,3000.0,Wisconsin,Madison,5-7 years,5-7 years,College degree
25-34,Computing or Tech,Senior Supervisor,77400,5000.0,Massachusetts,Fall River,8 - 10 years,8 - 10 years,College degree
25-34,Computing or Tech,Software Developer,175000,0.0,Wisconsin,Madison,8 - 10 years,8 - 10 years,College degree
35-44,Engineering or Manufacturing,Principal Mechanical Engineer,163000,10000.0,California,Lincoln,11 - 20 years,11 - 20 years,College degree
35-44,"Accounting, Banking & Finance",Senior Tax Associate,82400,5000.0,Massachusetts,Boston,8 - 10 years,5-7 years,College degree
35-44,"Accounting, Banking & Finance",Senior Accountant,72000,6000.0,Arkansas,Little Rock,21 - 30 years,11 - 20 years,College degree
35-44,Computing or Tech,Engineering Lead,145000,65000.0,Illinois,Chicago,21 - 30 years,21 - 30 years,Some college
65 or over,Law,Recruiter,74880,500.0,Virginia,Richmond,41 years or more,41 years or more,Some college
45-54,Media & Digital,Web/TV reporter,140000,,Massachusetts,Boston,21 - 30 years,5-7 years,College degree
25-34,Engineering or Manufacturing,Senior Engineer,108000,,Florida,Cape Canaveral,5-7 years,2 - 4 years,College degree
25-34,Recruitment or HR,HR Generalist,49757,0.0,Colorado,Montrose,11 - 20 years,5-7 years,College degree
25-34,Engineering or Manufacturing,Scientist,99000,15000.0,Massachusetts,Andover,5-7 years,8 - 10 years,Master's degree
18-24,Law,Paralegal,72100,5000.0,California,Walnut Creek,2 - 4 years,2 - 4 years,College degree
35-44,Education (Higher Education),Writing Center Director,52000,,Texas,Beaumont,11 - 20 years,11 - 20 years,Master's degree
25-34,Computing or Tech,Software Engineer,174000,,California,San Francisco,5-7 years,5-7 years,College degree
35-44,Education (Higher Education),Senior Research Area Specialist,85000,0.0,Michigan,Ann Arbor,11 - 20 years,8 - 10 years,PhD
25-34,Education (Higher Education),Social Media Manager,69000,,Indiana,South Bend,11 - 20 years,8 - 10 years,College degree
35-44,"Accounting, Banking & Finance",Universal Associate,30000,2000.0,Ohio,Cardington,8 - 10 years,8 - 10 years,College degree
25-34,Art & Design,Lettering artist,30000,0.0,Iowa,Waterloo,5-7 years,5-7 years,College degree
35-44,"Public Library (might be considered Government, but that always seems an odd designation...)",Assistant Library Director,65000,,Massachusetts,Wilbraham,11 - 20 years,11 - 20 years,Master's degree
18-24,Nonprofits,Program Coordinator,41000,0.0,District of Columbia,DC,2 - 4 years,2 - 4 years,College degree
25-34,Engineering or Manufacturing,Supplier Quality Engineer,98000,9800.0,Colorado,Colorado Springs,8 - 10 years,2 - 4 years,College degree
25-34,Education (Higher Education),Academic Advisor,42000,0.0,Colorado,Denver,5-7 years,5-7 years,Master's degree
35-44,Nonprofits,Senior Associate Director of Foundation Relations,90000,1600.0,Illinois,Chicago,11 - 20 years,11 - 20 years,Master's degree
45-54,Government and Public Administration,Manager,167000,1500.0,Maryland,Baltimore,11 - 20 years,8 - 10 years,PhD
18-24,Engineering or Manufacturing,Quality Engineer,71000,1000.0,New Jersey,Franklin Lakes,2 - 4 years,2 - 4 years,College degree
25-34,Engineering or Manufacturing,Manufacturing Engineer,61500,0.0,Idaho,Sandpoint,5-7 years,5-7 years,College degree
45-54,Nonprofits,Office Manager,59000,1000.0,Washington,Snoqualmie,21 - 30 years,21 - 30 years,College degree
35-44,"Accounting, Banking & Finance",Senior Systems Engineer,125000,10000.0,District of Columbia,DC,11 - 20 years,11 - 20 years,College degree
25-34,Education (Higher Education),Assistant Director of Admissions,50000,0.0,California,Torrance,11 - 20 years,5-7 years,College degree
25-34,Computing or Tech,HR Product Manager,105000,6300.0,California,"Remote (HQ in San Fran, based in LA)",5-7 years,2 - 4 years,Master's degree
35-44,Nonprofits,"Manager, Strategic Initiatives",105000,2500.0,District of Columbia,Washington,11 - 20 years,11 - 20 years,Master's degree
35-44,Computing or Tech,User Experience Designer,98000,,Texas,Dallas,11 - 20 years,5-7 years,College degree
25-34,Health care,research coordinator,52000,0.0,New York,Albany,8 - 10 years,8 - 10 years,College degree
25-34,Nonprofits,Office Administrator,32520,200.0,Kentucky,Louisville,8 - 10 years,8 - 10 years,Some college
35-44,Nonprofits,Director of Institutional Giving,100000,0.0,New York,New York,21 - 30 years,11 - 20 years,Master's degree
35-44,Nonprofits,Credentialing Coordinator,39500,100.0,Michigan,Lansing,5-7 years,2 - 4 years,Some college
35-44,Nonprofits,Deputy Director,99000,0.0,Illinois,Chicago,11 - 20 years,11 - 20 years,Master's degree
25-34,Entertainment,"Manager, Scheduling & Planning",70000,5000.0,California,Los Angeles,11 - 20 years,8 - 10 years,College degree
25-34,Nonprofits,Associate Registrar,41043,,Ohio,Cleveland,5-7 years,5-7 years,Master's degree
25-34,Education (Higher Education),PhD student/research assistant,22000,0.0,Colorado,Boulder,2 - 4 years,2 - 4 years,College degree
18-24,Publishing,Editorial Assistant,45000,,New York,New York,2 - 4 years,2 - 4 years,College degree
25-34,Nonprofits,Director of Development,70000,,North Carolina,Winston Salem,8 - 10 years,5-7 years,College degree
35-44,Computing or Tech,Vice President,140000,40000.0,Utah,Salt Lake City,11 - 20 years,8 - 10 years,Some college
55-64,Retail,Senior manager,45000,0.0,Connecticut,Danbury,21 - 30 years,21 - 30 years,College degree
18-24,Law,Paralegal,55000,,New Jersey,Newark,2 - 4 years,2 - 4 years,College degree
25-34,"Accounting, Banking & Finance",Treasury Management Specialist,37700,2000.0,Massachusetts,Barnstable,5-7 years,1 year or less,Some college
25-34,Government and Public Administration,GIS Analyst,82181,0.0,Washington,Seattle,11 - 20 years,11 - 20 years,College degree
35-44,"Accounting, Banking & Finance",Customer Service Agent,36000,0.0,Florida,Tampa,8 - 10 years,5-7 years,College degree
25-34,Education (Higher Education),Administrative Assistant,36000,0.0,Pennsylvania,Pittsburgh,2 - 4 years,2 - 4 years,Master's degree
25-34,Art & Design,UX Designer/Front-end dev,88000,0.0,Virginia,Fairfax,8 - 10 years,8 - 10 years,College degree
35-44,Law,Office Manager,85000,,California,Burlingame,11 - 20 years,5-7 years,College degree
25-34,Nonprofits,Development Associate,53000,0.0,District of Columbia,Washington DC,2 - 4 years,1 year or less,College degree
35-44,Engineering or Manufacturing,Business Anayst,45000,0.0,Indiana,Elkhart,5-7 years,5-7 years,Master's degree
35-44,Education (Higher Education),Assistant Professor,48000,0.0,North Carolina,Raleigh,21 - 30 years,11 - 20 years,PhD
25-34,Luxury Fashion,Data Analyst,68000,,New York,New York,8 - 10 years,8 - 10 years,Master's degree
35-44,"Marketing, Advertising & PR",Digital Asset Manager,60000,3000.0,Texas,Austin,5-7 years,2 - 4 years,College degree
25-34,Engineering or Manufacturing,Environmental Engineer III,70600,5000.0,Colorado,Denver,5-7 years,5-7 years,College degree
25-34,Property or Construction,Receptionist/Escrow Assistant,27070,4000.0,Oregon,La Grande,1 year or less,1 year or less,Some college
25-34,Nonprofits,Development and communications manager,55000,0.0,Vermont,"Shrewsbury, VT",8 - 10 years,5-7 years,Master's degree
25-34,Insurance,Underwriting Assistant,49350,2000.0,Tennessee,Nashville,2 - 4 years,2 - 4 years,College degree
35-44,Food Manufacturing,Regulatory Compliance Manager,85000,,California,Redding CA,8 - 10 years,8 - 10 years,College degree
25-34,Computing or Tech,Project Manager,60000,0.0,Pennsylvania,Philadelphia,8 - 10 years,5-7 years,College degree
25-34,"Marketing, Advertising & PR",Marketing Manager,46000,8000.0,Oregon,"Portland, Oregon",8 - 10 years,8 - 10 years,College degree
25-34,Agriculture or Forestry,Executive Administrative Assistant,47600,5500.0,Kansas,Olathe,8 - 10 years,8 - 10 years,College degree
35-44,Government and Public Administration,Records Management Specialist,85000,0.0,District of Columbia,Washington,8 - 10 years,5-7 years,PhD
25-34,Computing or Tech,Director of Engineering,145000,0.0,Minnesota,Minneapolis,8 - 10 years,8 - 10 years,College degree
35-44,Property or Construction,Property Manager,86000,16000.0,Florida,Orlando,11 - 20 years,11 - 20 years,College degree
18-24,Food service,Cashier/back-end food prep,18720,,Florida,Tallahassee,2 - 4 years,2 - 4 years,College degree
35-44,Computing or Tech,Program Manager,90600,11000.0,Massachusetts,Metrowest area,11 - 20 years,5-7 years,Master's degree
25-34,"Marketing, Advertising & PR",Senior Account Executive,70000,,Texas,Dallas,2 - 4 years,2 - 4 years,College degree
35-44,Computing or Tech,Project Manager,220000,20000.0,Colorado,Denver,11 - 20 years,8 - 10 years,Master's degree
35-44,Insurance,Provider Data Analyst,56000,7000.0,Oregon,Portland,11 - 20 years,2 - 4 years,College degree
35-44,Health care,Program Manager,145000,29000.0,Texas,Houston,11 - 20 years,11 - 20 years,Master's degree
25-34,Computing or Tech,Customer Success Manager,62000,12000.0,North Carolina,Raleigh,5-7 years,2 - 4 years,College degree
25-34,Business or Consulting,Life Coach,71000,,Utah,Salt Lake City,11 - 20 years,5-7 years,Some college
25-34,Nonprofits,Case manager,47500,3000.0,New York,Dobbs ferry,2 - 4 years,2 - 4 years,College degree
25-34,Law,Senior Business Analyst,64000,0.0,Indiana,Indianapolis,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)"
45-54,Retail,"Comp, Benefits and HRIS Manager",112900,1500.0,Illinois,Near Chicago,11 - 20 years,11 - 20 years,College degree
35-44,Pharma,"Associate Director, Medical Communications",168000,25000.0,,Remote (Chicago),11 - 20 years,11 - 20 years,Master's degree
25-34,Art & Design,Architect,80000,3000.0,Florida,St. Petersburg,8 - 10 years,5-7 years,Master's degree
25-34,Education (Primary/Secondary),English Teacher,48000,0.0,California,Thousand Oaks,2 - 4 years,1 year or less,College degree
25-34,Research/Social Science,Researcher,110000,0.0,District of Columbia,DC,5-7 years,5-7 years,PhD
25-34,Restaurant/Service,Sr Data Analyst,107000,6000.0,Washington,Seattle,8 - 10 years,5-7 years,College degree
